experiment_no.,execution_time
208,12.720586157026341
209,13.301307926861487
210,13.143712398726203
211,13.36113748802769
212,11.771431178224459
213,13.335468559053792
214,11.999060326063907
215,13.203577551358123
216,13.760109492927182
217,13.992433201677247
218,15.492070606934568
219,14.087431449246669
220,13.355639204552126
221,13.845333527898449
222,13.469642900055684
223,14.08144633336309
224,12.966882356410885
225,14.490706060441248
226,11.309194871023509
227,16.852500508861816
228,12.70151748319952
229,15.398318208779546
230,14.348562615065003
231,12.23448529651927
232,13.688245777920116
233,14.884636072143437
234,17.017772844791878
235,13.36836451152713
236,13.080382431763882
237,11.86191236659622
238,13.862325108236373
239,12.581383713224529
240,13.929654360997453
241,9.921727750937185
242,13.197520732208067
243,10.915478712255469
244,10.22848651758175
245,10.842127437771863
246,11.096384265178365
247,14.029005997290174
248,14.093400556011577
249,12.125937351852834
250,11.639717634926775
251,12.763819172904597
252,15.331290197012581
253,10.709363598504552
254,13.353239798944323
255,11.57026532959235
256,14.255707197520433
257,16.312611036461423
258,15.93281412318618
259,12.506957528670277
260,12.027834673184161
261,14.959305591714976
262,13.28571497630799
263,10.525229359486575
264,11.885286849400359
265,10.586068794501191
266,11.679027572590003
267,12.130841195030634
268,14.463540172391614
269,11.98187264611843
270,11.858746411173113
271,13.301939609016026
272,14.932073229402775
273,11.83542810751852
274,12.38343618821619
275,12.567776136999793
276,11.536250108661283
277,12.693337181241692
278,13.484411659949798
279,16.393146574621163
280,15.57864958648057
281,12.396732848429188
282,12.859551234141593
283,13.44758637816858
284,12.084936246058543
285,15.385395638460393
286,15.12506705706214
287,12.004625965339855
288,13.410588795215853
289,12.623624860261296
290,13.250297607457444
291,11.159461828539577
292,16.03694556506893
293,13.182469296955803
294,13.414667055127863
295,11.101993067244955
296,11.326703930774043
297,15.200960279839212
298,12.544559332461741
299,14.398676624413472
300,13.492342956498826
301,14.294223752344779
302,13.949673356818664
303,12.574585497059859
304,11.006961576063162
305,16.078383597028147
306,17.029928633643458
307,12.575626561439536
308,14.850445471164319
309,15.085397448136133
310,13.229388884583406
311,10.769096713075283
312,14.714472666029618
313,11.945084564131179
314,14.831140045982872
315,11.906644906022978
316,12.126851517904768
317,10.846794005531876
318,12.17981801987437
319,13.065283307137504
320,11.027296861071418
321,13.971152900322615
322,12.234163651046199
323,13.121398852107443
324,10.453248250208068
325,12.986714765665457
326,13.110259156712175
327,12.622640501624637
328,14.222716890645412
329,14.38553997280415
330,15.712306295087458
331,13.602916674939083
332,12.818753599576663
333,13.001999163978121
334,11.83403858018804
335,15.616887839771312
336,14.605951850815899
337,12.826590238225952
338,10.903452418552057
339,14.234432316862387
340,13.141509112120907
341,13.873038829429001
342,12.848146491142213
343,13.05879474619849
344,13.360342098234026
345,14.387087939672645
346,14.74564032338591
347,11.49319231640497
348,12.554174459914906
349,13.41769140148827
350,13.780145288995612
351,13.532860677835506
352,12.966655818102545
353,12.654966394574751
354,10.163522640001576
355,14.824632917508646
356,12.945904867572121
357,12.731274942513707
358,13.860064721082239
359,14.542053820561554
360,13.39656568840922
361,13.000832390222355
362,14.271387436890878
363,13.208668965709068
364,13.470614463113261
365,11.545374152167362
366,13.74791757449881
367,12.733582613713335
368,12.101932417203647
369,13.35233529984132
370,9.119172242314846
371,13.323712955640941
372,12.013706351399618
373,13.890203288296354
374,13.812469949719537
375,13.335906073703798
376,13.071212921142994
377,13.722131365545382
378,14.661991478034457
379,9.590973730460455
380,13.14419929044506
381,14.159709577955606
382,12.268964818718077
383,12.135905019875043
384,14.249062164556095
385,17.29702302020933
386,13.051150511151082
387,17.51428204911025
388,13.0671907992196
389,11.617328052052706
390,13.93787037409742
391,12.893040317654888
392,11.532506106950029
393,12.441718013745751
394,10.238997648896103
395,12.031089302686736
396,11.770977066075009
397,12.060943141406051
398,12.82803042519181
399,13.035869723321214
400,12.53248352153209
401,12.6210448680003
402,13.212495390790664
403,12.23139479685793
404,10.732917303340075
405,16.480275148083752
406,10.960023811981934
407,15.465809555055678
408,11.436922011003016
409,12.388129425087953
410,12.30364433290847
411,11.996231339093852
412,14.539453257527974
413,11.739044250808242
414,12.09795742837255
415,11.135184965774618
416,12.547715211887558
417,12.150965774438992
418,12.145808955577664
419,12.472768012572299
420,14.237675270088102
421,13.16950688384669
422,10.984975807904076
423,15.915873975357403
424,12.426427295974753
425,12.146312532411631
426,13.066147360539432
427,13.254234320328093
428,12.378930161202582
429,12.507614472804676
430,13.561210231645873
431,12.068693130412337
432,15.082253889327912
433,11.724880316239835
434,14.441608466173253
435,13.001732012889281
436,12.951085899755682
437,12.911385762330912
438,13.439929965541204
439,15.427441059762257
440,9.943509435100212
441,13.771653713365549
442,14.185608389100507
443,13.325171557511332
444,12.963877834512964
445,11.58575940234124
446,13.858959010951613
447,12.202132313196644
448,14.100141739229368
449,13.656456990751305
450,12.671294053936547
451,14.457456910131512
452,14.110170849414834
453,13.562711663451413
454,13.941163785199155
455,11.226794706421625
456,12.786826459488436
457,13.859732277663577
458,10.50803185115086
459,12.56715513281166
460,13.468122868119137
461,15.476155617586008
462,11.093696597413887
463,11.785031986494701
464,14.005108998326678
465,12.012348567757252
466,14.193701051017733
467,12.743284044208592
468,11.938525005198048
469,12.150177341254663
470,14.74953144920582
471,10.502863753139252
472,15.316606594416005
473,13.680161821463816
474,13.250392430704531
475,12.59003506013788
